Owner        Size       Last_Modify_Time Name                                              
informix       976.56M  Oct 06  00:51    /ix_idx2/ix_idx2.1                                
informix       976.56M  Oct 06  00:51    /ix_idx2/ix_idx2.2                                
informix       976.56M  Oct 06  00:51    /ix_idx2/ix_idx2.3                                
informix       976.56M  Oct 06  00:51    /ix_idx2/ix_idx2.4                                
informix       976.56M  Oct 06  00:51    /ix_idx2/ix_idx2.5                                
informix       976.56M  Oct 06  00:51    /ix_idx2/ix_idx2.6                                
informix       976.56M  May 07  2015     /ix_idx2/ix_idx2.7                                
informix       976.56M  Oct 06  00:51    /ix_idx3/ix_idx3.1                                
informix       976.56M  Oct 06  00:51    /ix_idx3/ix_idx3.2                                
informix       976.56M  Oct 06  00:51    /ix_idx3/ix_idx3.3                                
informix       976.56M  Oct 06  00:51    /ix_idx3/ix_idx3.4                                
informix       976.56M  Oct 06  00:41    /ix_temp/ix_temp.1                                
informix       976.56M  Oct 06  00:41    /ix_temp/ix_temp.2                                
informix       976.56M  Oct 06  00:41    /ix_temp/ix_temp.3                                
informix       976.56M  Oct 06  00:41    /ix_temp/ix_temp.4                                
informix       244.14M  Oct 01  01:55    /ach_root/ach_root.1                              
informix       244.14M  Oct 01  01:55    /ach_plog/ach_plog.1                              
informix       976.56M  Oct 01  01:55    /ach_llog/ach_llog.1                              
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.1                              
informix       976.56M  Oct 01  01:19    /ach_dat1/ach_dat1.10                             
informix       976.56M  Oct 01  01:19    /ach_dat1/ach_dat1.11                             
informix       976.56M  Oct 01  01:29    /ach_dat1/ach_dat1.12                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.13                             
informix       976.56M  Oct 01  01:29    /ach_dat1/ach_dat1.14                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.15                             
informix       976.56M  Oct 01  01:29    /ach_dat1/ach_dat1.16                             
informix       976.56M  Oct 01  01:19    /ach_dat1/ach_dat1.17                             
informix       976.56M  Apr 08  2016     /ach_dat1/ach_dat1.18                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.19                             
informix       976.56M  Oct 01  01:49    /ach_dat1/ach_dat1.2                              
informix       976.56M  Apr 08  2016     /ach_dat1/ach_dat1.20                             
informix       976.56M  Apr 08  2016     /ach_dat1/ach_dat1.21                             
informix       976.56M  Apr 08  2016     /ach_dat1/ach_dat1.22                             
informix       976.56M  Oct 01  01:39    /ach_dat1/ach_dat1.23                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.24                             
informix       976.56M  Jan 28  2016     /ach_dat1/ach_dat1.25                             
